country_code,account_female,account_male,account_poor40,account_rich60,account_prim_less,account_sec_more
ALB,41.1560488283684,51.4508986584924,30.1748781570827,56.6571758065027,26.2017574802131,62.2576595866938
ARG,84.2497432521024,78.939553062565,74.6649664777064,86.4417641162173,62.9313926179087,88.2990052725598
ARM,67.9879799098157,75.5669244748589,64.0431618561374,76.237141203434,57.4522223529168,72.6496184207406
AUS,97.7243209573911,98.3026509430008,96.8175014225166,98.806206248416,83.7759315262171,98.4907262732719
AUT,99.1873269882702,99.8378902484104,99.1909686711131,99.7193237132866,100.0,99.469280857145
AZE,46.1732591791453,67.0043773076741,41.1579115269579,66.3794766487029,39.9877544909509,58.623904682475
BEL,97.9206258791414,98.5689342561123,98.7161845506194,97.9177344321467,87.7610686377246,98.7376657340487
BEN,49.0557470327837,55.0161875100971,41.5027170713603,58.7139781551407,47.4267246678506,65.9656197631234
BFA,43.9890405155106,59.7853698647921,38.5347843936538,60.0238737184782,45.0746148949737,74.9542623117149
BGD,33.346000280938,53.5110284170371,35.5467073317195,48.1890552430875,31.1710966547941,50.2705197195129
BGR,85.0429744458305,84.369484033824,77.655004985327,89.4347563808868,58.0861482875189,91.7009244542672
BHR,83.0178852537418,81.9582393316251,77.338312091395,85.6405687623755,68.0918556590376,84.6367058620065
BIH,75.7475848321622,79.2625398663884,70.3836261798032,82.1463467698178,53.8036260216178,90.2960567775263
BLZ,65.1819147470622,71.0650824980445,63.7647608887268,70.7706158218454,55.3456424872489,78.8154652540576
BOL,53.4638307501513,60.3300944738612,45.5603933987213,64.3795839566536,35.7767584115646,66.7000735025256
BRA,82.2763902255203,90.853585329865,78.0975446578644,91.8922107287555,71.6929943652081,93.5431124318702
BWA,59.6866154697314,63.5502088098335,49.4372680058526,69.3996817259625,52.0096971067019,65.8584095790973
CAN,98.7513672334689,98.0567378578269,98.6214334795616,98.2605668641953,100.0,98.4837642577956
CHE,97.6132030221954,99.2322131762524,98.2819631242269,98.4989382317854,100.0,98.1984221547635
CHL,83.1703645529934,87.0892601301665,75.3603235793929,91.5259074392891,66.2858067902049,91.3962278513464
CHN,89.2021200745424,89.5550580073499,82.7432333438411,93.8015738218757,84.4097441140546,94.4530338656865
CIV,53.8175498364075,61.2027446506055,43.526253371749,66.9277520980539,49.4886789469068,75.037189495848
CMR,52.8996933484284,69.3553577956512,44.8919869724807,71.5008862833248,44.5698910414234,77.265931270629
COD,33.4561427829617,44.5944458590314,26.5410578898936,47.6624830131691,20.2990088577027,46.8452967546171
COG,50.5916393453064,60.5586391455265,41.7082699764933,64.8105386376969,41.5459904367302,66.3434229182466
COL,50.9915484901848,63.6600565851691,42.9248421374649,66.4939466930288,36.2169124867103,64.5053110770092
COM,41.8394427057053,49.6024719511375,35.0109004446953,52.4204683962579,42.8157348161451,48.4504867168151
CRI,68.2829497651369,74.5207849178286,62.8158143627092,77.0355519866568,53.537492398604,81.0607807718616
CYP,98.030865941963,94.2661652599799,94.1780470487871,97.4302689975268,99.2932159905865,95.9011797907229
CZE,89.6799815747657,94.9873961522011,85.6046020555067,96.70520540927,74.7505327942407,94.8443525817478
DEU,98.873065264332,97.6782654275893,98.5525412015415,98.1287844376437,100.0,98.1929166907385
DNK,98.1098068895589,99.1898637549239,97.7544565980559,99.2463886530811,100.0,98.595093327585
DOM,61.4376464055556,68.2420115558674,52.9502779958097,72.6289032823007,49.6430092514148,73.4886801352593
DZA,18.0709885603285,51.8629151446207,31.248963734877,37.9769930072596,25.0171288171979,38.8389220041372
EAP,83.5134062746718,83.1789669897992,75.7404774291362,88.4031977626933,78.1518977239896,87.9750481216341
ECA,73.9368697000325,82.0695960656749,71.1239633148779,82.3266486984413,60.2330651887195,80.8888483388038
ECU,63.5126837380937,65.5985687316865,56.4453858938692,69.8771073200755,50.0900332207873,72.077355955035
EGY,40.2142182329493,45.9509692862618,33.080949427223,49.7821903737145,38.465775192039,48.316807636606
ESP,97.8029322469363,98.9857786260021,98.7573470200723,98.1305692720436,97.63025953601,98.8725177528545
EST,99.7660187107038,97.9279393113948,98.0471531434544,99.4701575690419,96.6937364545843,99.3894418016447
ETH,41.6159713320994,56.5265673875994,42.5762685391233,52.9919326224592,41.729944069262,79.952447680989
