country,country_code,year,adult_pop,region,income_group,percent_with_fin_account,percent_with_fin_account_formal,percent_with_mobile_account,account_female,account_male,account_poor40,account_rich60,account_prim_less,account_sec_more,gdp_per_capita,region_geo
Russian Federation,RUS,2024,118635010.0,Europe & Central Asia (excluding high income),Upper middle income,0.793421267,0.792440189,0.058176187,77.2673546557224,81.6495846664745,70.6261391166153,85.1523932813798,62.7570684172578,81.3682355856549,14889.0185546875,Europe & Central Asia
Saudi Arabia,SAU,2024,25248449.0,High income,High income,0.788409517,0.779538335,0.365012282,73.461901464919,81.8127654266595,74.6153434071134,81.6639368017645,66.6383140653873,79.316214986013,35121.6628687742,"Middle East, North Africa, Afghanistan & Pakistan"
Senegal,SEN,2024,11094279.0,Sub-Saharan Africa (excluding high income),Lower middle income,0.764609257,0.480495953,0.66912649,73.5941345823606,79.6122559003812,68.994436090772,81.436888359536,73.6146089346462,84.2715537594639,1773.21829923448,Sub-Saharan Africa 
Serbia,SRB,2024,5672737.0,Europe & Central Asia (excluding high income),Upper middle income,0.832544459,0.832544459,,81.0618186013879,85.6546923214992,75.1389893523283,88.6506363075502,60.3410362424749,90.351375469278,13679.2065983557,Europe & Central Asia
Sierra Leone,SLE,2024,5200533.0,Sub-Saharan Africa (excluding high income),Low income,0.386205211,0.150133412,0.321957258,35.9347203423534,41.4790318962968,27.4565690881933,46.0586413806671,26.659190137757,59.0263950441918,806.654650417726,Sub-Saharan Africa 
Singapore,SGP,2024,5220107.0,High income,High income,0.979718288,0.978190915,0.564689659,97.6078339751686,98.3229188456466,95.7614657643224,99.4491241950911,87.6332291567375,98.6803833171565,90674.066632628,East Asia & Pacific
Slovak Republic,SVK,2024,4563499.0,High income,High income,0.922151185,0.922151185,,91.0941403563605,93.4077744964987,87.0148493589641,95.6829649951871,50.41462849814,95.285325961801,25992.6748502048,Europe & Central Asia
Slovenia,SVN,2024,1803880.0,High income,High income,0.987472573,0.987472573,,98.9427575733679,98.5393342994632,98.0833524484911,99.1895165790719,98.6317804316182,98.8031893185293,34301.0318686594,Europe & Central Asia
South Africa,ZAF,2024,46723498.0,Sub-Saharan Africa (excluding high income),Upper middle income,0.811259662,0.784330264,0.316232017,80.9924154358395,81.2787434862317,74.2156414653987,84.8469759306096,63.720981851365,85.6599222436322,6267.186814093,Sub-Saharan Africa 
Spain,ESP,2024,41937630.0,High income,High income,0.983807416,0.983807416,,97.8029322469363,98.9857786260021,98.7573470200723,98.1305692720436,97.63025953601,98.8725177528545,35326.7683069278,Europe & Central Asia
Sri Lanka,LKA,2024,17109247.0,South Asia (excluding high income),Lower middle income,0.816921294,0.812270146,0.029961648,80.201889490679,83.3833352312595,80.186232208266,82.6966067816372,75.6525964851497,84.4889282883542,4515.56787322732,South Asia
Sweden,SWE,2024,8719085.0,High income,High income,0.985654945,0.985654945,,97.6051609665946,99.501175617033,96.6188778443266,99.8632519590624,89.9102552437547,98.7656605971835,57117.4877440616,Europe & Central Asia
Switzerland,CHE,2024,7553903.0,High income,High income,0.984123097,0.984123097,,97.6132030221954,99.2322131762524,98.2819631242269,98.4989382317854,100.0,98.1984221547635,103998.186685604,Europe & Central Asia
"Taiwan, China",TWN,2024,20437095.0,High income,High income,0.956207099,0.956207099,,,,,,,,,
Tajikistan,TJK,2024,6596875.0,Europe & Central Asia (excluding high income),Lower middle income,0.545193771,0.524742715,0.144302101,46.9005362710827,62.5557724693504,49.9650557404033,57.5514616194339,43.5802725818182,58.5541160661076,1341.20229027672,Europe & Central Asia
Tanzania,TZA,2024,38155970.0,Sub-Saharan Africa (excluding high income),Lower middle income,0.598275253,0.219441734,0.528539837,54.9346318215236,65.3362469372565,50.8519090423491,65.7966603936744,54.1501416450898,78.1227103959748,1186.71691894531,Sub-Saharan Africa 
Thailand,THA,2024,60882768.0,East Asia & Pacific (excluding high income),Upper middle income,0.918249815,0.911189014,0.416773814,92.7000685235119,90.918244759467,91.1856150388769,92.2500728699359,91.0017346016231,93.9332708290935,7346.62022142185,East Asia & Pacific
Togo,TGO,2024,5593530.0,Sub-Saharan Africa (excluding high income),Low income,0.574329534,0.324420271,0.479918379,45.3494825153525,69.9999828165192,43.6513631462085,66.5981569347629,48.3004244617773,72.5910238637625,1119.38160509429,Sub-Saharan Africa 
Trinidad and Tobago,TTO,2024,1120989.0,High income,High income,0.745920641,0.745920641,,73.2927431144278,75.869999628906,73.9723506545314,75.0028438309011,62.1396540853468,80.9946042385198,18733.4110406494,Latin America & Caribbean 
Tunisia,TUN,2024,9219268.0,Middle East & North Africa (excluding high income),Lower middle income,0.37844486,0.37737117,0.026456293,26.6074987294777,49.5665996567354,21.6558127729451,48.6150220019225,28.6065551972747,45.8258014849128,4181.13789301228,"Middle East, North Africa, Afghanistan & Pakistan"
Turkiye,TUR,2024,66691005.0,Europe & Central Asia (excluding high income),Upper middle income,0.815545478,0.815082105,0.233225246,71.6675500449687,91.6080831238213,75.5367583458805,85.5567256187198,70.295002174836,84.7600121091497,15892.7157287241,Europe & Central Asia
Uganda,UGA,2024,27277834.0,Sub-Saharan Africa (excluding high income),Low income,0.728273758,0.261733237,0.677382954,66.3670902474203,80.2678606568995,66.8868869234163,76.7587317463283,64.8079887063478,80.2038805875702,1077.91278452817,Sub-Saharan Africa 
Ukraine,UKR,2024,32338724.0,Europe & Central Asia (excluding high income),Lower middle income,0.875812259,0.875812259,,83.8855969447319,91.5174220952965,81.5206322830376,91.6087600580828,84.0104630508427,87.7857352580196,5389.47314453125,Europe & Central Asia
United Kingdom,GBR,2024,56450851.0,High income,High income,0.992843093,0.992843093,,99.2689870562959,99.3005630735761,100.0,98.8073284000879,100.0,99.2375399538752,53246.3676145108,Europe & Central Asia
United States,USA,2024,275987833.0,High income,High income,0.970230983,0.970230983,,97.1092143262693,96.9368554605958,95.5767682441686,97.982796115914,92.7320585202772,97.1209790457057,84534.0407841548,North America
Uruguay,URY,2024,2755004.0,High income,High income,0.737451276,0.737451276,,73.2856919264603,74.2464297281832,62.8504097371847,80.9982571695999,60.4552359826769,86.2754731203571,23906.5133029408,Latin America & Caribbean 
Uzbekistan,UZB,2024,24646062.0,Europe & Central Asia (excluding high income),Lower middle income,0.59658383,0.59658383,,60.7039265407325,58.5397971163848,61.6991328968796,58.2973903436592,39.259012572243,63.8574734489712,3161.70010632875,Europe & Central Asia
"Venezuela, RB",VEN,2024,20899114.0,Latin America & Caribbean (excluding high income),Upper middle income,0.873184628,0.863742959,0.337396759,87.7033336249902,86.9300365024269,84.4291999175201,89.2479407782685,79.1494147346836,90.5329126474792,4217.59102643391,Latin America & Caribbean 
Viet Nam,VNM,2024,76663207.0,East Asia & Pacific (excluding high income),Lower middle income,0.705507534,0.698541923,0.38723284,69.8844155477409,71.2493314689508,48.1091971005892,85.4862530324906,33.4836318159282,75.2195263581733,4717.29028732449,East Asia & Pacific
West Bank and Gaza,PSE,2024,3183655.0,Middle East & North Africa (excluding high income),Lower middle income,0.396209836,0.386652297,0.061631687,27.7345491731852,51.181464130948,33.1063553167404,43.9652343227868,34.5955293978022,40.6868231680592,2592.30591217647,"Middle East, North Africa, Afghanistan & Pakistan"
Zambia,ZMB,2024,12029200.0,Sub-Saharan Africa (excluding high income),Low income,0.727024246,0.240723734,0.693107513,70.172074871881,75.4614346484177,58.7956699275909,81.9480490077803,61.9882588828619,84.2771295174334,1187.10943350064,Sub-Saharan Africa 
Zimbabwe,ZWE,2024,9588258.0,Sub-Saharan Africa (excluding high income),Lower middle income,0.495216018,0.215661531,0.433317369,46.9940182067327,52.4013370486159,38.2144157150038,57.0495586087754,33.8236387289404,59.3619449304381,2497.20332208763,Sub-Saharan Africa 
world,WLD,2024,,,,0.787424041,0.753073502,0.159704052,76.6330384569803,80.855243699571,72.3612993688464,82.9868149094254,69.6263075978138,85.6061089250876,,
Developing economies,LMY,2024,,,,0.754463783,0.713223553,0.183480079,72.9736032719058,77.9199866543082,68.1859783076364,80.2730820413295,69.0736528503406,81.6875647293692,,
East Asia & Pacific (excluding high income),EAP,2024,,,,0.83343266,0.821925209,0.069058118,83.5134062746718,83.1789669897992,75.7404774291362,88.4031977626933,78.1518977239896,87.9750481216341,,
Europe & Central Asia (excluding high income),ECA,2024,,,,0.778490635,0.775779213,0.106686028,73.9368697000325,82.0695960656749,71.1239633148779,82.3266486984413,60.2330651887195,80.8888483388038,,
Middle East & North Africa (excluding high income),MNA,2024,,,,0.529089187,0.49974486,0.10709366,45.6286015667673,60.0897775750715,45.9034386759063,57.5725753292588,42.3637564716053,60.5939974483951,,
Sub-Saharan Africa (excluding high income),SSA,2024,,,,0.581823875,0.378459833,0.399929245,52.2979999131369,64.3609216158484,47.1908830912076,65.3784085347402,44.1932536887421,75.3467690896452,,
Latin America & Caribbean (excluding high income),LAC,2024,,,,0.697191455,0.664234704,0.372803921,65.8592671155635,73.9032183931953,59.540238606929,76.4930412099884,52.7047141077996,77.6088311220652,,
South Asia,SAS,2024,,,,0.775683155,0.753220761,0.219287665,75.0596309089595,80.0505159551464,73.2503054944143,80.4348488186772,75.5077118253448,81.3903062559331,,
High income,HIC,2024,,,,0.949131387,0.94858257,0.043055753,,,,,,,,
Low income,LIC,2024,,,,0.464432333,0.257597745,0.317694503,,,,,,,,
Lower middle income,LMC,2024,,,,0.703871704,0.649734164,0.244393827,,,,,,,,
Upper middle income,UMC,2024,,,,0.840421009,0.832392924,0.10648931,,,,,,,,
